actor(0, 3) = 0.37371546030044556
actor(1, 0) = 0.3197227716445923
actor(1, 4) = 0.36500686407089233
actor(4, 4) = 0.3140541613101959
goal(0, 2) = 0.27498432993888855
goal(0, 4) = 0.29400762915611267
goal(1, 1) = 0.27722829580307007
goal(3, 4) = 0.27823445200920105
enemy(0, 1) = 0.2468937784433365
enemy(1, 1) = 0.2420615553855896
enemy(2, 0) = 0.24617554247379303
enemy(2, 1) = 0.253310889005661
enemy(2, 2) = 0.24563144147396088
enemy(2, 4) = 0.24334385991096497
enemy(4, 0) = 0.2538631558418274
enemy(4, 4) = 0.24137628078460693
