actor(1, 3) = 0.43358808755874634
actor(2, 0) = 0.331206351518631
actor(2, 3) = 0.3319864273071289
actor(4, 2) = 0.34704700112342834
goal(0, 1) = 0.2671873867511749
goal(1, 3) = 0.2775408923625946
goal(2, 4) = 0.316684752702713
goal(4, 1) = 0.26614314317703247
enemy(0, 0) = 0.26838013529777527
enemy(0, 3) = 0.25149643421173096
enemy(0, 4) = 0.2383556216955185
enemy(2, 2) = 0.24314914643764496
enemy(3, 0) = 0.2400517761707306
enemy(3, 3) = 0.31206566095352173
enemy(3, 4) = 0.23886092007160187
enemy(4, 0) = 0.2592534124851227
