actor(1, 2) = 0.3567085564136505
actor(2, 0) = 0.3948199450969696
actor(2, 1) = 0.5104975700378418
actor(2, 3) = 0.3384222686290741
goal(2, 2) = 0.3113657832145691
goal(3, 1) = 0.26909151673316956
goal(4, 2) = 0.2746496796607971
goal(4, 4) = 0.2837132215499878
enemy(0, 1) = 0.23412638902664185
enemy(0, 4) = 0.2372179925441742
enemy(1, 0) = 0.23133377730846405
enemy(1, 3) = 0.22967608273029327
enemy(3, 0) = 0.24381035566329956
enemy(3, 3) = 0.24605818092823029
enemy(3, 4) = 0.23194165527820587
enemy(4, 0) = 0.23184072971343994
