actor(0, 2) = 0.3171284794807434
actor(1, 1) = 0.3091546595096588
actor(2, 4) = 0.29339081048965454
actor(4, 0) = 0.3023799657821655
goal(1, 3) = 0.2587105333805084
goal(2, 0) = 0.3020307719707489
goal(3, 1) = 0.2621270716190338
goal(4, 2) = 0.26180294156074524
enemy(0, 0) = 0.28019124269485474
enemy(0, 1) = 0.2749384343624115
enemy(0, 3) = 0.29555338621139526
enemy(0, 4) = 0.38426241278648376
enemy(1, 3) = 0.3200533390045166
enemy(2, 1) = 0.28004780411720276
enemy(3, 0) = 0.2731986343860626
enemy(3, 3) = 0.3006766438484192
