actor(1, 3) = 0.46494215726852417
actor(2, 2) = 0.5850752592086792
actor(3, 4) = 0.3698412775993347
actor(4, 2) = 0.36061975359916687
goal(0, 1) = 0.271018922328949
goal(1, 2) = 0.25989940762519836
goal(4, 0) = 0.26688289642333984
goal(4, 1) = 0.32579997181892395
enemy(0, 3) = 0.23287507891654968
enemy(0, 4) = 0.24542395770549774
enemy(1, 1) = 0.2441723495721817
enemy(1, 4) = 0.23336364328861237
enemy(2, 0) = 0.24337008595466614
enemy(2, 1) = 0.2555970251560211
enemy(2, 4) = 0.24033884704113007
enemy(3, 0) = 0.23666568100452423
