actor(0, 4) = 0.3143443763256073
actor(3, 0) = 0.28642410039901733
actor(4, 1) = 0.2922085225582123
actor(4, 3) = 0.32189688086509705
goal(0, 0) = 0.27582231163978577
goal(1, 4) = 0.2878570556640625
goal(3, 3) = 0.2625904083251953
goal(4, 0) = 0.26043078303337097
enemy(0, 1) = 0.27364709973335266
enemy(0, 2) = 0.2888789772987366
enemy(0, 3) = 0.28739801049232483
enemy(0, 4) = 0.2798464298248291
enemy(1, 1) = 0.29451799392700195
enemy(2, 1) = 0.29202350974082947
enemy(2, 4) = 0.32816311717033386
enemy(4, 0) = 0.2671642601490021
