actor(1, 4) = 0.32240378856658936
actor(2, 4) = 0.3730916678905487
actor(3, 2) = 0.45148584246635437
actor(4, 4) = 0.39646396040916443
goal(0, 4) = 0.2939969599246979
goal(1, 3) = 0.26731398701667786
goal(2, 0) = 0.2676614224910736
goal(4, 2) = 0.32101255655288696
enemy(0, 2) = 0.2549135982990265
enemy(0, 3) = 0.26198264956474304
enemy(2, 1) = 0.23157371580600739
enemy(2, 2) = 0.2375796139240265
enemy(2, 3) = 0.2347746044397354
enemy(3, 4) = 0.2488272488117218
enemy(4, 2) = 0.2400871068239212
enemy(4, 3) = 0.23297768831253052
