actor(1, 1) = 0.3083992302417755
actor(2, 0) = 0.4077800512313843
actor(2, 4) = 0.318157434463501
actor(4, 0) = 0.2969696521759033
goal(0, 3) = 0.25799065828323364
goal(1, 4) = 0.2735958993434906
goal(3, 3) = 0.2787574231624603
goal(4, 1) = 0.2577226161956787
enemy(0, 1) = 0.2724565267562866
enemy(0, 2) = 0.26036375761032104
enemy(0, 4) = 0.2619378864765167
enemy(1, 2) = 0.2782476544380188
enemy(2, 2) = 0.2668236494064331
enemy(3, 1) = 0.3384135663509369
enemy(3, 2) = 0.26048609614372253
enemy(4, 2) = 0.2699905335903168
