actor(0, 0) = 0.35449934005737305
actor(3, 1) = 0.44639864563941956
actor(4, 1) = 0.3648671507835388
actor(4, 4) = 0.3963022828102112
goal(2, 1) = 0.25462594628334045
goal(2, 2) = 0.2748101055622101
goal(3, 3) = 0.3250247538089752
goal(3, 4) = 0.254433810710907
enemy(0, 1) = 0.25259673595428467
enemy(0, 2) = 0.24552962183952332
enemy(0, 3) = 0.2493274211883545
enemy(1, 1) = 0.26847735047340393
enemy(2, 4) = 0.24587444961071014
enemy(3, 0) = 0.2636962831020355
enemy(4, 2) = 0.2759958505630493
enemy(4, 3) = 0.2641548812389374
