actor(0, 0) = 0.3072723150253296
actor(1, 1) = 0.3468039929866791
actor(1, 3) = 0.294609397649765
actor(2, 4) = 0.33151865005493164
goal(0, 3) = 0.309309720993042
goal(2, 0) = 0.28883546590805054
goal(3, 4) = 0.2874218821525574
goal(4, 0) = 0.27744996547698975
enemy(0, 0) = 0.27843043208122253
enemy(0, 1) = 0.27834513783454895
enemy(1, 4) = 0.270076721906662
enemy(2, 0) = 0.2794094979763031
enemy(2, 1) = 0.2642163634300232
enemy(3, 1) = 0.26279720664024353
enemy(3, 4) = 0.2683739960193634
enemy(4, 1) = 0.26560360193252563
