actor(1, 0) = 0.3344968855381012
actor(2, 1) = 0.40227779746055603
actor(2, 2) = 0.43589189648628235
actor(2, 4) = 0.4397472143173218
goal(0, 0) = 0.2751363217830658
goal(3, 4) = 0.26541730761528015
goal(4, 0) = 0.35920876264572144
goal(4, 3) = 0.2796051800251007
enemy(0, 1) = 0.2336389571428299
enemy(0, 3) = 0.2687569856643677
enemy(0, 4) = 0.23870912194252014
enemy(1, 1) = 0.2360657900571823
enemy(1, 2) = 0.25035160779953003
enemy(3, 0) = 0.24804726243019104
enemy(3, 1) = 0.23168887197971344
enemy(3, 2) = 0.23390968143939972
