actor(0, 4) = 0.2957117557525635
actor(1, 2) = 0.31133055686950684
actor(2, 4) = 0.2908042371273041
actor(3, 4) = 0.3051758408546448
goal(0, 2) = 0.2700521945953369
goal(2, 0) = 0.2698032557964325
goal(2, 1) = 0.2668269872665405
goal(4, 2) = 0.2599920928478241
enemy(0, 0) = 0.26159539818763733
enemy(0, 1) = 0.2913159728050232
enemy(0, 2) = 0.258184015750885
enemy(0, 3) = 0.26208803057670593
enemy(2, 1) = 0.2628905773162842
enemy(2, 3) = 0.2576391398906708
enemy(4, 0) = 0.2546643912792206
enemy(4, 4) = 0.2884681522846222
