actor(0, 4) = 0.2915777266025543
actor(3, 1) = 0.3068414628505707
actor(3, 2) = 0.3316498398780823
actor(4, 0) = 0.3179991841316223
goal(0, 1) = 0.2748349905014038
goal(1, 3) = 0.26116546988487244
goal(2, 4) = 0.27687710523605347
goal(4, 1) = 0.30711013078689575
enemy(0, 3) = 0.3415566086769104
enemy(0, 4) = 0.26707297563552856
enemy(1, 3) = 0.26400622725486755
enemy(2, 1) = 0.27377307415008545
enemy(2, 3) = 0.2618790864944458
enemy(2, 4) = 0.2677145302295685
enemy(3, 3) = 0.27578210830688477
enemy(3, 4) = 0.26988962292671204
