actor(1, 3) = 0.3448222577571869
actor(2, 2) = 0.5102361440658569
actor(3, 0) = 0.3720548152923584
actor(3, 2) = 0.3919735252857208
goal(0, 4) = 0.26361438632011414
goal(3, 1) = 0.28962740302085876
goal(3, 4) = 0.27149486541748047
goal(4, 0) = 0.27805641293525696
enemy(0, 1) = 0.26323485374450684
enemy(0, 3) = 0.26987722516059875
enemy(1, 1) = 0.24800267815589905
enemy(2, 1) = 0.25250110030174255
enemy(2, 3) = 0.2546190917491913
enemy(3, 3) = 0.26250678300857544
enemy(3, 4) = 0.24157460033893585
enemy(4, 0) = 0.23861119151115417
