actor(2, 0) = 0.2913625240325928
actor(3, 1) = 0.29467329382896423
actor(3, 2) = 0.29265034198760986
actor(4, 0) = 0.31961590051651
goal(2, 0) = 0.2612859010696411
goal(2, 1) = 0.27466022968292236
goal(2, 4) = 0.2644074261188507
goal(4, 2) = 0.2578667402267456
enemy(0, 3) = 0.2675155997276306
enemy(0, 4) = 0.2666797637939453
enemy(1, 0) = 0.3195696473121643
enemy(1, 2) = 0.2866096496582031
enemy(1, 3) = 0.2812401354312897
enemy(2, 4) = 0.3042110800743103
enemy(3, 0) = 0.3498157858848572
enemy(3, 4) = 0.3248254358768463
