actor(0, 2) = 0.3276572823524475
actor(1, 4) = 0.3689618408679962
actor(3, 2) = 0.5707793235778809
actor(4, 2) = 0.32828837633132935
goal(2, 2) = 0.2747557759284973
goal(2, 3) = 0.2761850953102112
goal(3, 3) = 0.3697209656238556
goal(4, 3) = 0.29150596261024475
enemy(0, 1) = 0.22564055025577545
enemy(1, 0) = 0.23542842268943787
enemy(1, 2) = 0.23027801513671875
enemy(2, 2) = 0.2396193891763687
enemy(2, 4) = 0.2443842738866806
enemy(3, 0) = 0.23858827352523804
enemy(3, 1) = 0.23031605780124664
enemy(4, 0) = 0.24599948525428772
