actor(0, 2) = 0.36704903841018677
actor(1, 2) = 0.5696959495544434
actor(2, 3) = 0.4121616780757904
actor(4, 4) = 0.38129571080207825
goal(0, 4) = 0.2623281180858612
goal(2, 0) = 0.28857681155204773
goal(3, 3) = 0.2613338530063629
goal(4, 2) = 0.36048752069473267
enemy(0, 4) = 0.23748953640460968
enemy(1, 0) = 0.2403249889612198
enemy(1, 1) = 0.23937897384166718
enemy(2, 0) = 0.2358754426240921
enemy(2, 1) = 0.24105307459831238
enemy(3, 2) = 0.23713573813438416
enemy(3, 3) = 0.23667803406715393
enemy(4, 3) = 0.23341740667819977
