actor(2, 0) = 0.3066897690296173
actor(4, 1) = 0.28713297843933105
actor(4, 2) = 0.28014275431632996
actor(4, 3) = 0.2801724076271057
goal(0, 4) = 0.2691555917263031
goal(2, 2) = 0.2895113527774811
goal(3, 1) = 0.26486143469810486
goal(4, 2) = 0.270548015832901
enemy(0, 2) = 0.32256612181663513
enemy(0, 3) = 0.29816481471061707
enemy(2, 1) = 0.27606746554374695
enemy(2, 2) = 0.28612619638442993
enemy(3, 2) = 0.30037617683410645
enemy(3, 3) = 0.28089669346809387
enemy(3, 4) = 0.28999748826026917
enemy(4, 3) = 0.2758094370365143
