actor(0, 0) = 0.282298743724823
actor(2, 3) = 0.2781934142112732
actor(3, 1) = 0.2831501364707947
actor(4, 0) = 0.331360787153244
goal(1, 4) = 0.2652326226234436
goal(2, 4) = 0.2679140269756317
goal(4, 0) = 0.26937228441238403
goal(4, 1) = 0.29334157705307007
enemy(0, 1) = 0.2791738212108612
enemy(0, 2) = 0.28644633293151855
enemy(1, 3) = 0.2869342863559723
enemy(2, 1) = 0.28656649589538574
enemy(2, 2) = 0.29879647493362427
enemy(3, 3) = 0.29016655683517456
enemy(4, 2) = 0.2827795147895813
enemy(4, 3) = 0.3397033214569092
