actor(0, 2) = 0.2919861674308777
actor(1, 2) = 0.34803810715675354
actor(1, 3) = 0.29332929849624634
actor(4, 1) = 0.3214769661426544
goal(0, 4) = 0.2700890004634857
goal(1, 1) = 0.2702166736125946
goal(2, 2) = 0.2741398811340332
goal(3, 1) = 0.2610299587249756
enemy(0, 3) = 0.27232229709625244
enemy(2, 3) = 0.26398780941963196
enemy(3, 0) = 0.2685181498527527
enemy(3, 3) = 0.27188965678215027
enemy(3, 4) = 0.29449206590652466
enemy(4, 0) = 0.2832011878490448
enemy(4, 3) = 0.27946290373802185
enemy(4, 4) = 0.263887494802475
