actor(0, 2) = 0.36007148027420044
actor(1, 1) = 0.4123724102973938
actor(2, 1) = 0.40138953924179077
actor(4, 3) = 0.3882802426815033
goal(0, 0) = 0.26208168268203735
goal(2, 1) = 0.28324612975120544
goal(3, 3) = 0.25865495204925537
goal(4, 1) = 0.3204859495162964
enemy(0, 3) = 0.23256924748420715
enemy(1, 3) = 0.2522880733013153
enemy(2, 2) = 0.2491307258605957
enemy(2, 3) = 0.2275572270154953
enemy(3, 0) = 0.23466238379478455
enemy(3, 2) = 0.26887115836143494
enemy(3, 3) = 0.25615373253822327
enemy(4, 4) = 0.2398185133934021
