actor(0, 1) = 0.32879939675331116
actor(2, 1) = 0.39444857835769653
actor(4, 1) = 0.32076701521873474
actor(4, 3) = 0.34474611282348633
goal(1, 3) = 0.2732967138290405
goal(2, 4) = 0.2646108567714691
goal(3, 2) = 0.3076654374599457
goal(4, 4) = 0.26641520857810974
enemy(0, 2) = 0.23424173891544342
enemy(0, 4) = 0.2411656677722931
enemy(1, 0) = 0.2710266411304474
enemy(1, 1) = 0.23958486318588257
enemy(1, 2) = 0.2583463788032532
enemy(2, 0) = 0.24207499623298645
enemy(2, 1) = 0.23972781002521515
enemy(3, 4) = 0.2430875450372696
