actor(0, 1) = 0.401710569858551
actor(2, 1) = 0.31315848231315613
actor(3, 1) = 0.40566614270210266
actor(4, 3) = 0.3166455030441284
goal(0, 4) = 0.26110100746154785
goal(1, 4) = 0.2666041851043701
goal(3, 2) = 0.25854524970054626
goal(4, 0) = 0.26324304938316345
enemy(0, 3) = 0.2620682716369629
enemy(1, 3) = 0.25211474299430847
enemy(2, 0) = 0.2535880208015442
enemy(2, 1) = 0.25321224331855774
enemy(2, 3) = 0.24827122688293457
enemy(3, 2) = 0.2539774179458618
enemy(3, 4) = 0.31251683831214905
enemy(4, 1) = 0.27848049998283386
