actor(0, 3) = 0.3062596917152405
actor(1, 0) = 0.3172079622745514
actor(1, 2) = 0.3167683184146881
actor(3, 4) = 0.30261486768722534
goal(0, 2) = 0.3284280598163605
goal(2, 0) = 0.2692045271396637
goal(4, 1) = 0.26084041595458984
goal(4, 3) = 0.2626241147518158
enemy(0, 0) = 0.2825675904750824
enemy(0, 2) = 0.26245537400245667
enemy(1, 4) = 0.2894899249076843
enemy(2, 3) = 0.2681969106197357
enemy(2, 4) = 0.25503668189048767
enemy(3, 2) = 0.25761178135871887
enemy(3, 3) = 0.2631196081638336
enemy(4, 4) = 0.2645440101623535
