actor(1, 2) = 0.308278888463974
actor(2, 0) = 0.3180416524410248
actor(2, 4) = 0.31996074318885803
actor(3, 2) = 0.5032106637954712
goal(0, 0) = 0.2602193355560303
goal(1, 0) = 0.2842121422290802
goal(3, 4) = 0.29684823751449585
goal(4, 3) = 0.26562750339508057
enemy(0, 3) = 0.29482531547546387
enemy(0, 4) = 0.2489311695098877
enemy(1, 3) = 0.25474148988723755
enemy(2, 0) = 0.2514026463031769
enemy(2, 2) = 0.24500223994255066
enemy(3, 1) = 0.25122594833374023
enemy(4, 3) = 0.25050532817840576
enemy(4, 4) = 0.243501216173172
