actor(1, 2) = 0.48658525943756104
actor(3, 3) = 0.324131578207016
actor(4, 0) = 0.3294321596622467
actor(4, 4) = 0.3292514979839325
goal(1, 3) = 0.2770597040653229
goal(2, 0) = 0.27413037419319153
goal(2, 3) = 0.2701774835586548
goal(4, 1) = 0.27453741431236267
enemy(0, 1) = 0.25228482484817505
enemy(0, 4) = 0.2526808977127075
enemy(1, 0) = 0.2464352399110794
enemy(2, 1) = 0.25435659289360046
enemy(3, 2) = 0.242892786860466
enemy(3, 4) = 0.30168479681015015
enemy(4, 0) = 0.23952069878578186
enemy(4, 1) = 0.2475738674402237
