actor(0, 3) = 0.3309365212917328
actor(1, 3) = 0.4575406014919281
actor(2, 4) = 0.39821940660476685
actor(3, 2) = 0.35523808002471924
goal(0, 0) = 0.26162710785865784
goal(3, 3) = 0.26241829991340637
goal(4, 3) = 0.27374696731567383
goal(4, 4) = 0.3212697505950928
enemy(0, 0) = 0.24392174184322357
enemy(0, 3) = 0.2364140897989273
enemy(1, 0) = 0.23939840495586395
enemy(1, 2) = 0.23440322279930115
enemy(2, 0) = 0.23355010151863098
enemy(2, 1) = 0.2625664174556732
enemy(3, 4) = 0.23211824893951416
enemy(4, 0) = 0.23432910442352295
