actor(0, 4) = 0.4056493043899536
actor(1, 1) = 0.30999821424484253
actor(2, 4) = 0.31722673773765564
actor(3, 0) = 0.34707629680633545
goal(0, 2) = 0.27086231112480164
goal(1, 4) = 0.2957044541835785
goal(3, 3) = 0.2568278908729553
goal(3, 4) = 0.2661636471748352
enemy(0, 0) = 0.25975844264030457
enemy(0, 1) = 0.2496364861726761
enemy(0, 3) = 0.25788334012031555
enemy(1, 1) = 0.2662944495677948
enemy(2, 1) = 0.2776828408241272
enemy(2, 2) = 0.2834280729293823
enemy(2, 3) = 0.2463807910680771
enemy(3, 2) = 0.24737855792045593
