actor(0, 2) = 0.3598387837409973
actor(1, 1) = 0.49627912044525146
actor(2, 0) = 0.3359379768371582
actor(3, 4) = 0.41703927516937256
goal(0, 0) = 0.2826441526412964
goal(0, 2) = 0.2622302770614624
goal(1, 4) = 0.33701497316360474
goal(2, 4) = 0.25818899273872375
enemy(0, 1) = 0.24317334592342377
enemy(0, 3) = 0.24008964002132416
enemy(1, 4) = 0.2459793984889984
enemy(2, 1) = 0.24946655333042145
enemy(2, 3) = 0.2654937505722046
enemy(3, 0) = 0.24440157413482666
enemy(3, 2) = 0.33276206254959106
enemy(4, 2) = 0.250485360622406
