actor(0, 2) = 0.32474520802497864
actor(2, 4) = 0.3261254131793976
actor(3, 4) = 0.3967835009098053
actor(4, 0) = 0.3562232255935669
goal(1, 2) = 0.26790323853492737
goal(1, 3) = 0.2548161447048187
goal(4, 1) = 0.25467512011528015
goal(4, 3) = 0.26094332337379456
enemy(0, 3) = 0.2517760992050171
enemy(2, 1) = 0.25808724761009216
enemy(2, 3) = 0.24452805519104004
enemy(3, 0) = 0.2567017078399658
enemy(3, 2) = 0.24143701791763306
enemy(4, 0) = 0.26056748628616333
enemy(4, 2) = 0.2400519847869873
enemy(4, 3) = 0.2463575303554535
