actor(0, 0) = 0.49233126640319824
actor(3, 1) = 0.30751895904541016
actor(3, 3) = 0.30550962686538696
actor(4, 2) = 0.3048087954521179
goal(1, 2) = 0.3109372854232788
goal(2, 0) = 0.265822172164917
goal(2, 2) = 0.26890087127685547
goal(4, 1) = 0.2634095251560211
enemy(1, 0) = 0.27259203791618347
enemy(1, 1) = 0.2557781934738159
enemy(1, 3) = 0.2505619525909424
enemy(2, 2) = 0.26161661744117737
enemy(2, 3) = 0.2505738139152527
enemy(3, 0) = 0.25489240884780884
enemy(3, 4) = 0.26703357696533203
enemy(4, 3) = 0.2749623954296112
