actor(0, 2) = 0.28531232476234436
actor(1, 0) = 0.2806527316570282
actor(1, 2) = 0.2777065634727478
actor(4, 4) = 0.29564327001571655
goal(0, 4) = 0.26750847697257996
goal(2, 1) = 0.2632642686367035
goal(3, 4) = 0.2656399607658386
goal(4, 1) = 0.2709614336490631
enemy(0, 1) = 0.32630467414855957
enemy(0, 3) = 0.27752918004989624
enemy(1, 4) = 0.30252382159233093
enemy(2, 3) = 0.2754654884338379
enemy(3, 1) = 0.3091948628425598
enemy(4, 0) = 0.2886185646057129
enemy(4, 1) = 0.28470364212989807
enemy(4, 3) = 0.27504223585128784
