actor(0, 2) = 0.3403280973434448
actor(1, 3) = 0.4698646366596222
actor(3, 4) = 0.33332690596580505
actor(4, 0) = 0.3569490909576416
goal(1, 4) = 0.25598976016044617
goal(2, 2) = 0.2588750123977661
goal(2, 4) = 0.26876890659332275
goal(4, 2) = 0.2924272119998932
enemy(0, 0) = 0.24682968854904175
enemy(1, 0) = 0.24147093296051025
enemy(1, 2) = 0.2556915879249573
enemy(2, 0) = 0.2414475530385971
enemy(2, 2) = 0.2680607736110687
enemy(3, 2) = 0.24126005172729492
enemy(4, 1) = 0.2446838617324829
enemy(4, 2) = 0.27121445536613464
