actor(0, 1) = 0.3248283267021179
actor(2, 0) = 0.45155760645866394
actor(3, 0) = 0.4225216507911682
actor(4, 0) = 0.3281920850276947
goal(2, 2) = 0.26636990904808044
goal(2, 4) = 0.2762551009654999
goal(4, 0) = 0.28559911251068115
goal(4, 1) = 0.27866852283477783
enemy(0, 4) = 0.2512485086917877
enemy(1, 1) = 0.24068008363246918
enemy(1, 2) = 0.2548758387565613
enemy(1, 3) = 0.2462221384048462
enemy(3, 2) = 0.25682955980300903
enemy(3, 4) = 0.2545908987522125
enemy(4, 3) = 0.2674652636051178
enemy(4, 4) = 0.2563984990119934
