actor(0, 2) = 0.3464939296245575
actor(1, 3) = 0.33452996611595154
actor(1, 4) = 0.3383844494819641
actor(2, 2) = 0.4416472911834717
goal(0, 0) = 0.26906275749206543
goal(2, 1) = 0.263506144285202
goal(3, 2) = 0.29245567321777344
goal(3, 3) = 0.2598264515399933
enemy(0, 1) = 0.25765126943588257
enemy(0, 3) = 0.26454946398735046
enemy(1, 1) = 0.2614058256149292
enemy(1, 2) = 0.2487553358078003
enemy(2, 0) = 0.2671453058719635
enemy(2, 1) = 0.2497231364250183
enemy(2, 3) = 0.27909842133522034
enemy(3, 0) = 0.24831853806972504
