actor(1, 0) = 0.30622756481170654
actor(2, 3) = 0.327188640832901
actor(3, 0) = 0.339422345161438
actor(3, 3) = 0.28453630208969116
goal(2, 1) = 0.26369357109069824
goal(2, 2) = 0.2623755931854248
goal(3, 2) = 0.2645322382450104
goal(4, 3) = 0.3008234202861786
enemy(0, 0) = 0.2738823890686035
enemy(0, 1) = 0.30007946491241455
enemy(0, 2) = 0.27677449584007263
enemy(0, 3) = 0.33657407760620117
enemy(1, 1) = 0.29998883605003357
enemy(2, 2) = 0.2777635157108307
enemy(4, 2) = 0.2822144627571106
enemy(4, 3) = 0.2736653685569763
