actor(0, 1) = 0.3538404703140259
actor(1, 2) = 0.395170122385025
actor(1, 3) = 0.37124744057655334
actor(3, 3) = 0.48988330364227295
goal(0, 0) = 0.27978014945983887
goal(0, 2) = 0.2815723717212677
goal(3, 4) = 0.28715038299560547
goal(4, 2) = 0.30088010430336
enemy(0, 0) = 0.23402133584022522
enemy(0, 4) = 0.24498945474624634
enemy(2, 0) = 0.23363585770130157
enemy(2, 2) = 0.24023866653442383
enemy(2, 4) = 0.2321997582912445
enemy(3, 0) = 0.23305962979793549
enemy(4, 2) = 0.2455419898033142
enemy(4, 4) = 0.24342726171016693
