actor(1, 1) = 0.44371774792671204
actor(2, 4) = 0.46627697348594666
actor(4, 1) = 0.3495326638221741
actor(4, 2) = 0.3455374240875244
goal(1, 0) = 0.2825862467288971
goal(1, 3) = 0.26824498176574707
goal(1, 4) = 0.2673785388469696
goal(3, 2) = 0.31139394640922546
enemy(0, 0) = 0.23478475213050842
enemy(0, 1) = 0.2474200576543808
enemy(0, 3) = 0.24968212842941284
enemy(2, 0) = 0.2600177228450775
enemy(2, 2) = 0.23988185822963715
enemy(2, 3) = 0.23665475845336914
enemy(3, 3) = 0.23249994218349457
enemy(4, 3) = 0.2554447650909424
