actor(0, 2) = 0.307748943567276
actor(1, 0) = 0.3323286771774292
actor(1, 4) = 0.3214857876300812
actor(2, 0) = 0.3245900869369507
goal(0, 4) = 0.261548787355423
goal(1, 2) = 0.2851293981075287
goal(1, 4) = 0.2765091359615326
goal(3, 2) = 0.26151490211486816
enemy(0, 0) = 0.2690317928791046
enemy(0, 3) = 0.2845158874988556
enemy(1, 1) = 0.2728520333766937
enemy(2, 0) = 0.26090317964553833
enemy(2, 4) = 0.2543995976448059
enemy(3, 2) = 0.2912449538707733
enemy(3, 3) = 0.2590039074420929
enemy(4, 3) = 0.25503671169281006
