actor(0, 2) = 0.3287780284881592
actor(1, 1) = 0.5031246542930603
actor(2, 0) = 0.33807486295700073
actor(3, 1) = 0.3437640964984894
goal(0, 0) = 0.282032310962677
goal(3, 0) = 0.2990157902240753
goal(3, 1) = 0.2770424485206604
goal(4, 2) = 0.2828948497772217
enemy(0, 2) = 0.25312361121177673
enemy(0, 3) = 0.2951183617115021
enemy(0, 4) = 0.255014032125473
enemy(2, 1) = 0.2413438856601715
enemy(2, 2) = 0.24670355021953583
enemy(2, 4) = 0.25201332569122314
enemy(4, 1) = 0.25423625111579895
enemy(4, 3) = 0.2432434856891632
