actor(0, 1) = 0.38388851284980774
actor(1, 4) = 0.3266769349575043
actor(2, 4) = 0.3474607765674591
actor(4, 3) = 0.35943350195884705
goal(0, 0) = 0.27356258034706116
goal(2, 0) = 0.2856394946575165
goal(3, 0) = 0.3031252920627594
goal(3, 1) = 0.2764325737953186
enemy(0, 3) = 0.26811110973358154
enemy(0, 4) = 0.23702940344810486
enemy(2, 0) = 0.2425624430179596
enemy(2, 1) = 0.2589368522167206
enemy(2, 3) = 0.30000653862953186
enemy(3, 3) = 0.24232523143291473
enemy(3, 4) = 0.23441185057163239
enemy(4, 4) = 0.23422850668430328
