actor(1, 2) = 0.31493380665779114
actor(2, 0) = 0.3392139673233032
actor(2, 1) = 0.32094907760620117
actor(2, 4) = 0.3090941607952118
goal(0, 0) = 0.2801342308521271
goal(1, 0) = 0.2700711488723755
goal(3, 0) = 0.27072426676750183
goal(3, 1) = 0.2737380564212799
enemy(0, 0) = 0.2543621063232422
enemy(0, 1) = 0.29808473587036133
enemy(0, 4) = 0.25113147497177124
enemy(1, 3) = 0.26414063572883606
enemy(1, 4) = 0.2575598657131195
enemy(2, 3) = 0.25009068846702576
enemy(3, 2) = 0.24600465595722198
enemy(4, 0) = 0.24960827827453613
