actor(0, 2) = 0.3170081079006195
actor(1, 0) = 0.30070799589157104
actor(1, 1) = 0.31339842081069946
actor(1, 3) = 0.41647037863731384
goal(0, 4) = 0.2699968218803406
goal(2, 2) = 0.28015053272247314
goal(3, 4) = 0.272260457277298
goal(4, 0) = 0.2765379846096039
enemy(0, 1) = 0.2719667851924896
enemy(0, 3) = 0.26474499702453613
enemy(2, 1) = 0.268057644367218
enemy(2, 2) = 0.2570319175720215
enemy(2, 4) = 0.25506791472435
enemy(3, 0) = 0.281941682100296
enemy(3, 1) = 0.3104531466960907
enemy(4, 4) = 0.2727280259132385
