actor(0, 4) = 0.30352774262428284
actor(1, 4) = 0.39895331859588623
actor(3, 4) = 0.30275678634643555
actor(4, 1) = 0.3127868175506592
goal(0, 0) = 0.2640725374221802
goal(1, 1) = 0.2704414427280426
goal(3, 1) = 0.2729310691356659
goal(3, 3) = 0.2649601697921753
enemy(0, 1) = 0.2736678719520569
enemy(1, 0) = 0.2594340443611145
enemy(2, 2) = 0.2766006588935852
enemy(2, 4) = 0.26228469610214233
enemy(3, 3) = 0.26270201802253723
enemy(3, 4) = 0.25274819135665894
enemy(4, 1) = 0.27316564321517944
enemy(4, 4) = 0.27365225553512573
