actor(0, 1) = 0.3334936201572418
actor(2, 3) = 0.32108429074287415
actor(2, 4) = 0.43847814202308655
actor(3, 4) = 0.32960188388824463
goal(0, 0) = 0.2607952356338501
goal(0, 4) = 0.26702481508255005
goal(1, 4) = 0.26263079047203064
goal(4, 1) = 0.2865404188632965
enemy(1, 1) = 0.2566366493701935
enemy(1, 3) = 0.26793575286865234
enemy(2, 1) = 0.2981714904308319
enemy(2, 2) = 0.2623485028743744
enemy(3, 0) = 0.2713123857975006
enemy(3, 1) = 0.2553347647190094
enemy(3, 4) = 0.27315476536750793
enemy(4, 3) = 0.25849685072898865
