actor(1, 3) = 0.5115429759025574
actor(2, 1) = 0.32561206817626953
actor(4, 0) = 0.32682543992996216
actor(4, 2) = 0.32717880606651306
goal(3, 1) = 0.2691742479801178
goal(3, 2) = 0.2889541685581207
goal(4, 1) = 0.26984521746635437
goal(4, 4) = 0.2680637836456299
enemy(0, 1) = 0.25418734550476074
enemy(2, 0) = 0.25586238503456116
enemy(2, 1) = 0.2720659077167511
enemy(2, 3) = 0.2595340311527252
enemy(2, 4) = 0.25161251425743103
enemy(3, 0) = 0.25265851616859436
enemy(3, 4) = 0.25161945819854736
enemy(4, 4) = 0.24702446162700653
