actor(0, 2) = 0.3924047648906708
actor(1, 2) = 0.3552422523498535
actor(3, 2) = 0.3444017767906189
actor(3, 3) = 0.608755886554718
goal(0, 0) = 0.26170024275779724
goal(1, 4) = 0.2616644501686096
goal(3, 4) = 0.276742160320282
goal(4, 3) = 0.305133581161499
enemy(0, 3) = 0.26568207144737244
enemy(1, 0) = 0.26293468475341797
enemy(1, 1) = 0.24528828263282776
enemy(2, 1) = 0.24224333465099335
enemy(3, 0) = 0.23571112751960754
enemy(4, 1) = 0.2448277622461319
enemy(4, 3) = 0.23443542420864105
enemy(4, 4) = 0.23664532601833344
