actor(0, 2) = 0.32788029313087463
actor(2, 0) = 0.426714152097702
actor(2, 4) = 0.3240981698036194
actor(4, 2) = 0.3190734386444092
goal(0, 0) = 0.2652190923690796
goal(2, 0) = 0.29471930861473083
goal(3, 0) = 0.3135787844657898
goal(4, 0) = 0.27249300479888916
enemy(0, 3) = 0.2534100413322449
enemy(0, 4) = 0.2530902028083801
enemy(1, 0) = 0.2544941008090973
enemy(1, 3) = 0.2739841341972351
enemy(3, 1) = 0.2532431185245514
enemy(3, 2) = 0.24959193170070648
enemy(4, 1) = 0.28875958919525146
enemy(4, 3) = 0.2553546130657196
