actor(0, 0) = 0.33706673979759216
actor(1, 3) = 0.43601253628730774
actor(2, 3) = 0.35110360383987427
actor(4, 0) = 0.37368565797805786
goal(0, 2) = 0.2756351828575134
goal(1, 0) = 0.26392459869384766
goal(2, 1) = 0.38589340448379517
goal(4, 0) = 0.28081730008125305
enemy(0, 0) = 0.25357741117477417
enemy(0, 4) = 0.2458588033914566
enemy(1, 0) = 0.2732156813144684
enemy(1, 4) = 0.25438952445983887
enemy(3, 0) = 0.244950070977211
enemy(3, 2) = 0.25997599959373474
enemy(3, 4) = 0.2469777762889862
enemy(4, 4) = 0.25458431243896484
