actor(0, 0) = 0.32562610507011414
actor(1, 3) = 0.31829461455345154
actor(3, 2) = 0.34959906339645386
actor(4, 0) = 0.3399515748023987
goal(0, 0) = 0.26754114031791687
goal(0, 3) = 0.2829129695892334
goal(0, 4) = 0.2697853744029999
goal(3, 4) = 0.25710833072662354
enemy(0, 3) = 0.24818280339241028
enemy(1, 0) = 0.25301119685173035
enemy(2, 0) = 0.2517130672931671
enemy(2, 1) = 0.25097301602363586
enemy(2, 4) = 0.2754899263381958
enemy(3, 0) = 0.24329161643981934
enemy(3, 3) = 0.24714943766593933
enemy(4, 3) = 0.24591895937919617
