actor(0, 3) = 0.42082104086875916
actor(1, 4) = 0.365222305059433
actor(2, 2) = 0.3366251289844513
actor(4, 4) = 0.3451935648918152
goal(0, 0) = 0.2733291983604431
goal(1, 3) = 0.34162768721580505
goal(3, 4) = 0.2971248924732208
goal(4, 0) = 0.2786751091480255
enemy(0, 0) = 0.23664672672748566
enemy(0, 1) = 0.2604643404483795
enemy(0, 4) = 0.23675437271595
enemy(1, 1) = 0.23301327228546143
enemy(2, 1) = 0.26809850335121155
enemy(3, 2) = 0.2623599171638489
enemy(4, 2) = 0.25133639574050903
enemy(4, 3) = 0.24507184326648712
