actor(0, 0) = 0.32582125067710876
actor(1, 1) = 0.35043954849243164
actor(3, 2) = 0.32467108964920044
actor(3, 3) = 0.32446223497390747
goal(0, 0) = 0.2567884027957916
goal(1, 0) = 0.2578704357147217
goal(2, 2) = 0.33055979013442993
goal(3, 1) = 0.2598592936992645
enemy(0, 1) = 0.24291998147964478
enemy(0, 3) = 0.2590875029563904
enemy(0, 4) = 0.2482723742723465
enemy(1, 1) = 0.2888496220111847
enemy(1, 3) = 0.2642907500267029
enemy(4, 0) = 0.2556123733520508
enemy(4, 3) = 0.2733139991760254
enemy(4, 4) = 0.25285014510154724
