actor(0, 2) = 0.3621291220188141
actor(1, 0) = 0.47015485167503357
actor(2, 2) = 0.3461851477622986
actor(3, 4) = 0.3942686915397644
goal(0, 0) = 0.2570638656616211
goal(1, 2) = 0.33589252829551697
goal(2, 1) = 0.2578846216201782
goal(3, 3) = 0.2683757543563843
enemy(0, 3) = 0.25065237283706665
enemy(0, 4) = 0.23624810576438904
enemy(1, 1) = 0.2521539032459259
enemy(1, 3) = 0.2551119327545166
enemy(2, 2) = 0.24145744740962982
enemy(3, 3) = 0.2420758157968521
enemy(4, 1) = 0.2377006709575653
enemy(4, 3) = 0.23734626173973083
