actor(0, 3) = 0.34913918375968933
actor(1, 0) = 0.5673373341560364
actor(1, 2) = 0.34557515382766724
actor(3, 3) = 0.3567993640899658
goal(3, 0) = 0.37693148851394653
goal(3, 4) = 0.2820010781288147
goal(4, 0) = 0.2611875832080841
goal(4, 2) = 0.26655077934265137
enemy(0, 1) = 0.226159006357193
enemy(0, 2) = 0.24130305647850037
enemy(0, 3) = 0.23581641912460327
enemy(1, 1) = 0.2294818013906479
enemy(1, 3) = 0.23372282087802887
enemy(2, 1) = 0.24799057841300964
enemy(2, 2) = 0.22927381098270416
enemy(2, 3) = 0.22809983789920807
