actor(0, 4) = 0.3272668421268463
actor(1, 4) = 0.43310168385505676
actor(2, 4) = 0.325441837310791
actor(3, 1) = 0.3255131244659424
goal(0, 2) = 0.28951892256736755
goal(0, 4) = 0.27560627460479736
goal(4, 0) = 0.26734399795532227
goal(4, 4) = 0.31768038868904114
enemy(0, 0) = 0.2419922649860382
enemy(0, 1) = 0.23910923302173615
enemy(0, 3) = 0.24456371366977692
enemy(1, 3) = 0.23833903670310974
enemy(2, 0) = 0.24964861571788788
enemy(2, 2) = 0.24452340602874756
enemy(3, 0) = 0.24043531715869904
enemy(4, 3) = 0.2383652925491333
