actor(0, 1) = 0.49430179595947266
actor(1, 1) = 0.37127920985221863
actor(1, 3) = 0.3694378137588501
actor(4, 2) = 0.33289262652397156
goal(0, 0) = 0.27831175923347473
goal(0, 4) = 0.322601854801178
goal(3, 2) = 0.26947104930877686
goal(3, 4) = 0.2742062509059906
enemy(0, 3) = 0.2550802230834961
enemy(1, 0) = 0.2310480922460556
enemy(2, 1) = 0.27089908719062805
enemy(2, 2) = 0.24047355353832245
enemy(2, 3) = 0.23134620487689972
enemy(2, 4) = 0.24895645678043365
enemy(3, 0) = 0.24393120408058167
enemy(4, 3) = 0.2412552386522293
