actor(0, 2) = 0.35376879572868347
actor(1, 2) = 0.43694499135017395
actor(2, 2) = 0.37900787591934204
actor(4, 0) = 0.3844585716724396
goal(0, 0) = 0.2846526503562927
goal(2, 4) = 0.27493929862976074
goal(3, 3) = 0.26686719059944153
goal(3, 4) = 0.34679096937179565
enemy(0, 3) = 0.24462825059890747
enemy(1, 0) = 0.245353564620018
enemy(1, 1) = 0.24144496023654938
enemy(1, 3) = 0.2910982370376587
enemy(1, 4) = 0.23704837262630463
enemy(2, 1) = 0.24086369574069977
enemy(2, 4) = 0.23540186882019043
enemy(4, 4) = 0.2515079081058502
