actor(1, 2) = 0.4451964199542999
actor(3, 1) = 0.32735008001327515
actor(4, 1) = 0.35588982701301575
actor(4, 2) = 0.35711869597435
goal(1, 1) = 0.25334370136260986
goal(1, 4) = 0.27228185534477234
goal(2, 2) = 0.2692473530769348
goal(3, 4) = 0.25739985704421997
enemy(0, 3) = 0.26202958822250366
enemy(1, 1) = 0.24847587943077087
enemy(1, 3) = 0.29737502336502075
enemy(2, 0) = 0.24684813618659973
enemy(2, 1) = 0.257269948720932
enemy(3, 0) = 0.24929279088974
enemy(3, 2) = 0.24671073257923126
enemy(3, 4) = 0.25746211409568787
