actor(1, 3) = 0.4086179733276367
actor(2, 2) = 0.4580647647380829
actor(3, 2) = 0.36706534028053284
actor(4, 0) = 0.436907023191452
goal(0, 0) = 0.27739807963371277
goal(2, 1) = 0.26701995730400085
goal(2, 4) = 0.2628172039985657
goal(3, 4) = 0.37650391459465027
enemy(0, 4) = 0.2686181962490082
enemy(1, 1) = 0.2505134344100952
enemy(1, 4) = 0.2617180645465851
enemy(2, 1) = 0.23643667995929718
enemy(2, 3) = 0.24136655032634735
enemy(3, 3) = 0.23240317404270172
enemy(4, 1) = 0.23267409205436707
enemy(4, 3) = 0.2321656495332718
