actor(0, 2) = 0.3411579430103302
actor(1, 3) = 0.3209228217601776
actor(2, 1) = 0.34257960319519043
actor(2, 4) = 0.46961715817451477
goal(1, 2) = 0.2845871150493622
goal(2, 1) = 0.28593680262565613
goal(3, 4) = 0.2752237319946289
goal(4, 4) = 0.3061215281486511
enemy(0, 1) = 0.29015129804611206
enemy(1, 1) = 0.24469059705734253
enemy(2, 0) = 0.231504887342453
enemy(2, 2) = 0.23137320578098297
enemy(2, 3) = 0.24208101630210876
enemy(3, 0) = 0.2381480485200882
enemy(3, 2) = 0.25256165862083435
enemy(4, 3) = 0.27903813123703003
