actor(0, 1) = 0.47359412908554077
actor(1, 1) = 0.3518234193325043
actor(2, 0) = 0.338403582572937
actor(4, 3) = 0.33978521823883057
goal(1, 2) = 0.39813223481178284
goal(1, 4) = 0.26564887166023254
goal(2, 2) = 0.2651621699333191
goal(3, 1) = 0.27410998940467834
enemy(0, 0) = 0.2718380093574524
enemy(0, 3) = 0.25756654143333435
enemy(2, 2) = 0.24373582005500793
enemy(3, 0) = 0.23987065255641937
enemy(3, 3) = 0.24669881165027618
enemy(4, 1) = 0.23753012716770172
enemy(4, 2) = 0.24501383304595947
enemy(4, 4) = 0.23892053961753845
