actor(1, 3) = 0.31839385628700256
actor(2, 4) = 0.6612792015075684
actor(4, 0) = 0.3340469300746918
actor(4, 2) = 0.3318227529525757
goal(0, 0) = 0.30056557059288025
goal(1, 4) = 0.2709597647190094
goal(2, 2) = 0.2775722146034241
goal(3, 0) = 0.270334929227829
enemy(0, 1) = 0.23920689523220062
enemy(0, 3) = 0.23968084156513214
enemy(1, 0) = 0.26778534054756165
enemy(1, 2) = 0.2463098168373108
enemy(2, 1) = 0.2377922236919403
enemy(2, 3) = 0.2517376244068146
enemy(3, 2) = 0.27256616950035095
enemy(3, 4) = 0.24300217628479004
