actor(0, 2) = 0.33848974108695984
actor(1, 1) = 0.5009627938270569
actor(3, 1) = 0.3789147138595581
actor(4, 4) = 0.3758571445941925
goal(0, 0) = 0.29219698905944824
goal(2, 2) = 0.3779184818267822
goal(4, 0) = 0.2734750509262085
goal(4, 2) = 0.26648467779159546
enemy(0, 3) = 0.24527832865715027
enemy(0, 4) = 0.23886071145534515
enemy(2, 4) = 0.22216849029064178
enemy(3, 0) = 0.2402523010969162
enemy(3, 2) = 0.22690659761428833
enemy(4, 1) = 0.2340942621231079
enemy(4, 2) = 0.24051931500434875
enemy(4, 3) = 0.2221090942621231
