actor(1, 3) = 0.34760090708732605
actor(2, 1) = 0.34851256012916565
actor(2, 2) = 0.3670547604560852
actor(2, 4) = 0.3130757510662079
goal(0, 2) = 0.2522497773170471
goal(1, 4) = 0.25900763273239136
goal(3, 4) = 0.2663438320159912
goal(4, 0) = 0.25315847992897034
enemy(0, 1) = 0.29461669921875
enemy(1, 1) = 0.2629992663860321
enemy(1, 4) = 0.2551570236682892
enemy(2, 0) = 0.2527221739292145
enemy(3, 0) = 0.25241079926490784
enemy(3, 1) = 0.2548901438713074
enemy(3, 2) = 0.26343366503715515
enemy(4, 1) = 0.2869185507297516
